"","index","Movie.Name","Year","Season","Run.Time","Budget","Box.Office","Genre","MPAA.Rating","Audience.Score","Sequel","Adjusted_Budget","Adjusted_Box.Office","Adjusted_Genre"
"1",0,"Lemony Snicket's A Series of Unfortunate Events",2004,"Fall",108,2.11e+08,211500000,"Adventure","PG",73,"Not Sequel",350400741.132875,351231074.642668,"Other"
"2",1,"A Star Is Born",2018,"Fall",136,3.6e+07,436300000,"Drama","R",90,"Sequel",44974910.3942652,545070927.917164,"Drama"
"3",2,"Solaris",2002,"Fall",99,4.7e+07,3e+07,"Sci-Fi","PG-13",66,"Sequel",81956086.7148416,52312395.7754308,"Sci-Fi"
"4",3,"Fired Up",2009,"Winter",90,2e+07,18500000,"Comedy","PG-13",24,"Not Sequel",29249417.2494172,27055710.955711,"Comedy"
"5",4,"The Lion King",2019,"Summer",118,3.8e+08,1.657e+09,"Adventure","PG",52,"Sequel",466194759.48377,2032854517.01212,"Other"
"6",5,"The Little Vampire",2000,"Fall",95,3.5e+07,2.8e+07,"Fantasy","PG",47,"Not Sequel",63760162.601626,51008130.0813008,"Fantasy"
"7",6,"Can You Ever Forgive Me?",2018,"Fall",107,1e+07,12400000,"Biography","R",98,"Not Sequel",12493030.6650737,15491358.0246914,"Biography"
"8",7,"Broken English",2007,"Spring",96,2e+06,1900000,"Romance","PG-13",64,"Not Sequel",3026531.59671973,2875205.01688374,"Romance"
"9",8,"The Last Exorcism",2010,"Summer",87,1800000,70200000,"Horror","PG-13",77,"Not Sequel",2588995.87345254,100970839.064649,"Horror"
"10",9,"Biosphere",2023,"Summer",107,80214166666.6667,9.6257e+10,"Comedy","R",79,"Not Sequel",82583472541.2975,99100167049.5569,"Comedy"
"11",10,"Captain America: The First Avenger",2011,"Summer",124,248350000,370600000,"Action","PG-13",80,"Not Sequel",346409048.465985,516928501.556247,"Action"
"12",11,"Hacksaw Ridge
",2016,"Fall",139,4e+07,180500000,"War","R",84,"Not Sequel",52283333.3333333,235928541.666667,"Other"
"13",12,"A Cinderella Story",2004,"Summer",95,1.9e+07,70100000,"Comedy","PG",11,"Not Sequel",31552673.3721546,116412758.073055,"Comedy"
"14",13,"The Reluctant Fundamentalist",2013,"Spring",130,1.5e+07,2100000,"Thriller","R",57,"Not Sequel",20195278.9699571,2827339.05579399,"Thriller"
"15",14,"Bridget Jones's Baby",2016,"Summer",123,3.5e+07,2.12e+08,"Comedy","R",77,"Sequel",45747916.6666667,277101666.666667,"Comedy"
"16",15,"The Perfect Score",2004,"Winter",93,9083333.33333333,10900000,"Comedy","PG-13",17,"Not Sequel",15084392.0945827,18101270.5134992,"Comedy"
"17",16,"Finding Bliss",2010,"Spring",96,1200000,1440000,"Comedy","R",0,"Not Sequel",1725997.24896836,2071196.69876204,"Comedy"
"18",17,"Mr. Holmes
",2015,"Summer",104,1e+07,29400000,"Mystery","PG",89,"Not Sequel",13236286.9198312,38914683.5443038,"Other"
"19",18,"Warm Bodies",2013,"Winter",98,3.5e+07,1.17e+08,"Comedy","PG-13",81,"Not Sequel",47122317.5965665,157523175.965665,"Comedy"
"20",19,"A Home at the End of the World",2004,"Summer",96,6500000,1500000,"Drama","R",50,"Not Sequel",10794335.627316,2491000.52938062,"Drama"
"21",20,"Looking Glass",2018,"Winter",103,6.399e+13,7.6788e+13,"Thriller","R",29,"Not Sequel",79942903225806.5,95931483870967.8,"Thriller"
"22",21,"Now You See Me 2",2016,"Spring",129,1.5e+08,334900000,"Action","PG-13",33,"Sequel",196062500,437742208.333333,"Action"
"23",22,"The Longest Yard",2005,"Spring",113,8.2e+07,191500000,"Comedy","PG-13",26,"Sequel",131712237.583205,307596262.160778,"Comedy"
"24",23,"Amsterdam",2022,"Fall",134,8e+07,31200000,"Mystery","R",33,"Not Sequel",85739665.1861975,33438469.422617,"Other"
