"Movie.Name","Year","Season","Run.Time","Critic.Score","Sequel","Log.Budget","Adjusted.MPAA.Rating","Adjusted.Genre","Log.Box.Office"
"Lemony Snicket's A Series of Unfortunate Events",2004,"Fall",108,73,0,19.6745880321295,"PG","Other",19.6769548971398
"A Star Is Born",2018,"Fall",136,90,1,17.6216153454535,"R","Drama",20.1164264871269
"Solaris",2002,"Fall",99,66,1,18.2216941339145,"PG-13","Sci-Fi",17.7727439138666
"Fired Up",2009,"Winter",90,24,0,17.1913702083468,"PG-13","Comedy",17.1134086668771
"The Lion King",2019,"Summer",118,52,1,19.9601140435842,"PG","Other",21.4327068082903
"The Little Vampire",2000,"Fall",95,47,0,17.9706391426567,"PG","Fantasy",17.7474955913425
"Can You Ever Forgive Me?",2018,"Fall",107,98,0,16.3406814999914,"R","Biography",16.5557928796084
"Broken English",2007,"Spring",96,64,0,14.9229278342791,"PG-13","Romance",14.8716345398916
"The Last Exorcism",2010,"Summer",87,77,0,14.7667806648554,"PG-13","Horror",18.4303423109851
"Biosphere",2023,"Summer",107,79,0,25.1370754071535,"R","Comedy",25.3193969639475
"Captain America: The First Avenger",2011,"Summer",124,80,0,19.663130855749,"PG-13","Action",20.0634151280469
"Hacksaw Ridge",2016,"Fall",139,84,0,17.7721882039329,"R","Other",19.2790395275919
"A Cinderella Story",2004,"Summer",95,11,0,17.2671688778199,"PG","Comedy",18.572652692694
"The Reluctant Fundamentalist",2013,"Spring",130,57,0,16.8209594206974,"R","Thriller",14.8548465643246
"Bridget Jones's Baby",2016,"Summer",123,77,1,17.6386568113083,"R","Comedy",19.4398950244909
"The Perfect Score",2004,"Winter",93,17,0,16.5291711310946,"PG-13","Comedy",16.7114926878885
"Finding Bliss",2010,"Spring",96,0,0,14.3613155567473,"R","Comedy",14.5436371135412
"Mr. Holmes",2015,"Summer",104,89,0,16.3984726250198,"PG","Other",17.4768822063704
"Warm Bodies",2013,"Winter",98,81,0,17.6682572810846,"PG-13","Comedy",18.875083154393
"A Home at the End of the World",2004,"Summer",96,50,0,16.194532075555,"R","Drama",14.7281950067616
"Looking Glass",2018,"Winter",103,29,0,32.012333786113,"R","Thriller",32.194655342907
"Now You See Me 2",2016,"Spring",129,33,1,19.0939440439152,"PG-13","Action",19.8971407296191
"The Longest Yard",2005,"Spring",113,26,1,18.6961300825425,"PG-13","Comedy",19.544298643899
"Amsterdam",2022,"Fall",134,33,0,18.2668261141369,"R","Other",17.3252175742785
"Mank",2020,"Fall",131,83,0,17.2267679354024,"R","Biography",25.7243460019427
"The Master of Disguise",2002,"Summer",80,1,0,17.1441352544442,"PG","Comedy",18.1420059733108
"The Hangover Part III",2013,"Spring",100,20,1,18.7476382078248,"R","Comedy",20.004553431421
"Gone",2012,"Winter",95,15,0,16.8411993901933,"PG-13","Thriller",17.0235209469873
"Godzilla x Kong: The New Empire",2024,"Winter",115,54,1,19.1626180886817,"PG-13","Action",20.1655232933927
"In the Name of the King",2008,"Winter",127,4,0,18.2862598310127,"PG-13","Fantasy",16.7645274989977
"War",2007,"Summer",103,30,0,17.4486564785874,"R","Action",17.9360087461677
"Confessions of a Teenage Drama Queen",2004,"Winter",85,14,0,17.0307800997557,"PG","Comedy",17.8282872956398
"Palm Springs",2020,"Summer",90,94,0,15.6173300229683,"R","Comedy",14.4133572186423
"Table 19",2017,"Winter",87,31,0,15.6717192950609,"PG-13","Comedy",15.6717192950609
"The Whole Ten Yards",2004,"Spring",99,4,1,18.0116093527674,"PG-13","Comedy",17.5884893094205
"Friday the 13th",2009,"Winter",97,25,1,17.1400769139593,"R","Horror",18.7250064073646
"Sorority Boys",2002,"Winter",93,46,0,16.8564531819924,"R","Comedy",16.8972751765127
"The Brown Bunny",2004,"Summer",119,33,0,16.6253149916475,"R","Drama",27.6768825452113
"Trick 'r Treat",2009,"Fall",82,85,0,16.6805445845808,"R","Horror",24.4323424312295
"The Water Diviner",2015,"Spring",111,63,0,17.2094028412361,"R","Drama",17.7387230476383
