index,Movie Name,Year,Season,Run Time,Budget,Box Office,Genre,MPAA Rating,Audience Score,Sequel
0,Lemony Snicket's A Series of Unfortunate Events,2004,Fall,108.0,211000000.0,211500000.0,Adventure,PG,73.0,0.0
1,A Star Is Born,2018,Fall,136.0,36000000.0,436300000.0,Drama,R,90.0,1.0
2,Solaris,2002,Fall,99.0,47000000.0,30000000.0,Sci-Fi,PG-13,66.0,1.0
3,Fired Up,2009,Winter,90.0,20000000.0,18500000.0,Comedy,PG-13,24.0,0.0
4,The Lion King,2019,Summer,118.0,380000000.0,1657000000.0,Adventure,PG,52.0,1.0
5,The Little Vampire,2000,Fall,95.0,35000000.0,28000000.0,Fantasy,PG,47.0,0.0
6,Can You Ever Forgive Me?,2018,Fall,107.0,10000000.0,12400000.0,Biography,R,98.0,0.0
7,Broken English,2007,Spring,96.0,2000000.0,1900000.0,Romance,PG-13,64.0,0.0
8,The Last Exorcism,2010,Summer,87.0,1800000.0,70200000.0,Horror,PG-13,77.0,0.0
9,Biosphere,2023,Summer,107.0,80214166666.66667,96257000000.0,Comedy,R,79.0,0.0
10,Captain America: The First Avenger,2011,Summer,124.0,248350000.0,370600000.0,Action,PG-13,80.0,0.0
11,"Hacksaw Ridge
",2016,Fall,139.0,40000000.0,180500000.0,War,R,84.0,0.0
12,A Cinderella Story,2004,Summer,95.0,19000000.0,70100000.0,Comedy,PG,11.0,0.0
13,The Reluctant Fundamentalist,2013,Spring,130.0,15000000.0,2100000.0,Thriller,R,57.0,0.0
14,Bridget Jones's Baby,2016,Summer,123.0,35000000.0,212000000.0,Comedy,R,77.0,1.0
15,The Perfect Score,2004,Winter,93.0,9083333.333333334,10900000.0,Comedy,PG-13,17.0,0.0
16,Finding Bliss,2010,Spring,96.0,1200000.0,1440000.0,Comedy,R,0.0,0.0
17,"Mr. Holmes
",2015,Summer,104.0,10000000.0,29400000.0,Mystery,PG,89.0,0.0
18,Warm Bodies,2013,Winter,98.0,35000000.0,117000000.0,Comedy,PG-13,81.0,0.0
19,A Home at the End of the World,2004,Summer,96.0,6500000.0,1500000.0,Drama,R,50.0,0.0
20,Looking Glass,2018,Winter,103.0,63990000000000.0,76788000000000.0,Thriller,R,29.0,0.0
21,Now You See Me 2,2016,Spring,129.0,150000000.0,334900000.0,Action,PG-13,33.0,1.0
22,The Longest Yard,2005,Spring,113.0,82000000.0,191500000.0,Comedy,PG-13,26.0,1.0
23,Amsterdam,2022,Fall,134.0,80000000.0,31200000.0,Mystery,R,33.0,0.0
24,Mank,2020,Fall,131.0,25000000.0,122572000000.0,Biography,R,83.0,0.0
25,The Master of Disguise,2002,Summer,80.0,16000000.0,43400000.0,Comedy,PG,1.0,0.0
26,The Hangover Part III,2013,Spring,100.0,103000000.0,362000000.0,Comedy,R,20.0,1.0
27,Gone,2012,Winter,95.0,15083333.333333334,18100000.0,Thriller,PG-13,15.0,0.0
28,Godzilla x Kong: The New Empire,2024,Winter,115.0,210000000.0,572500000.0,Action,PG-13,54.0,1.0
29,In the Name of the King,2008,Winter,127.0,60000000.0,13100000.0,Fantasy,PG-13,4.0,0.0
30,War,2007,Summer,103.0,25000000.0,40700000.0,Action,R,30.0,0.0
31,Confessions of a Teenage Drama Queen,2004,Winter,85.0,15000000.0,33300000.0,Comedy,PG,14.0,0.0
32,Palm Springs,2020,Summer,90.0,5000000.0,1500000.0,Comedy,R,94.0,0.0
33,"Table 19
",2017,Winter,87.0,5000000.0,5000000.0,Comedy,PG-13,31.0,0.0
34,The Whole Ten Yards,2004,Spring,99.0,40000000.0,26200000.0,Comedy,PG-13,4.0,1.0
35,Friday the 13th,2009,Winter,97.0,19000000.0,92700000.0,Horror,R,25.0,1.0
36,Sorority Boys,2002,Winter,93.0,12000000.0,12500000.0,Comedy,R,46.0,0.0
37,The Brown Bunny,2004,Summer,119.0,10000000.0,630427000000.0,Drama,NC-17,33.0,0.0
38,Trick 'r Treat,2009,Fall,82.0,12000000.0,27909000000.0,Horror,R,85.0,0.0
39,"The Water Diviner
",2015,Spring,111.0,22500000.0,38200000.0,Drama,R,63.0,0.0
40,"Maps to the Stars
",2015,Winter,112.0,13000000.0,4500000.0,Drama,R,62.0,0.0
