"","Movie.Name","Year","Season","Run.Time","Budget","Box.Office","Genre","MPAA.Rating","Critic.Score","Sequel"
"1","Lemony Snicket's A Series of Unfortunate Events",2004,"Fall",108,350400741.132875,351231074.642668,"Other","PG",73,0
"2","A Star Is Born",2018,"Fall",136,44974910.3942652,545070927.917164,"Drama","R",90,1
"3","Solaris",2002,"Fall",99,81956086.7148416,52312395.7754308,"Sci-Fi","PG-13",66,1
"4","Fired Up",2009,"Winter",90,29249417.2494172,27055710.955711,"Comedy","PG-13",24,0
"5","The Lion King",2019,"Summer",118,466194759.48377,2032854517.01212,"Other","PG",52,1
"6","The Little Vampire",2000,"Fall",95,63760162.601626,51008130.0813008,"Fantasy","PG",47,0
"7","Can You Ever Forgive Me?",2018,"Fall",107,12493030.6650737,15491358.0246914,"Biography","R",98,0
"8","Broken English",2007,"Spring",96,3026531.59671973,2875205.01688374,"Romance","PG-13",64,0
"9","The Last Exorcism",2010,"Summer",87,2588995.87345254,100970839.064649,"Horror","PG-13",77,0
"10","Biosphere",2023,"Summer",107,82583472541.2975,99100167049.5569,"Comedy","R",79,0
"11","Captain America: The First Avenger",2011,"Summer",124,346409048.465985,516928501.556247,"Action","PG-13",80,0
"12","Hacksaw Ridge
",2016,"Fall",139,52283333.3333333,235928541.666667,"Other","R",84,0
"13","A Cinderella Story",2004,"Summer",95,31552673.3721546,116412758.073055,"Comedy","PG",11,0
"14","The Reluctant Fundamentalist",2013,"Spring",130,20195278.9699571,2827339.05579399,"Thriller","R",57,0
"15","Bridget Jones's Baby",2016,"Summer",123,45747916.6666667,277101666.666667,"Comedy","R",77,1
"16","The Perfect Score",2004,"Winter",93,15084392.0945827,18101270.5134992,"Comedy","PG-13",17,0
"17","Finding Bliss",2010,"Spring",96,1725997.24896836,2071196.69876204,"Comedy","R",0,0
"18","Mr. Holmes
",2015,"Summer",104,13236286.9198312,38914683.5443038,"Other","PG",89,0
"19","Warm Bodies",2013,"Winter",98,47122317.5965665,157523175.965665,"Comedy","PG-13",81,0
"20","A Home at the End of the World",2004,"Summer",96,10794335.627316,2491000.52938062,"Drama","R",50,0
"21","Looking Glass",2018,"Winter",103,79942903225806.5,95931483870967.8,"Thriller","R",29,0
"22","Now You See Me 2",2016,"Spring",129,196062500,437742208.333333,"Action","PG-13",33,1
"23","The Longest Yard",2005,"Spring",113,131712237.583205,307596262.160778,"Comedy","PG-13",26,1
"24","Amsterdam",2022,"Fall",134,85739665.1861975,33438469.422617,"Other","R",33,0
"25","Mank",2020,"Fall",131,30303323.0293663,148573556414.219,"Biography","R",83,0
"26","The Master of Disguise",2002,"Summer",80,27899944.4135631,75678599.2217899,"Comedy","PG",1,0
"27","The Hangover Part III",2013,"Spring",100,138674248.927039,487379399.141631,"Comedy","R",20,1
"28","Gone",2012,"Winter",95,20608195.4123113,24729834.4947735,"Thriller","PG-13",15,0
"29","Godzilla x Kong: The New Empire",2024,"Winter",115,2.1e+08,572500000,"Action","PG-13",54,1
"30","In the Name of the King",2008,"Winter",127,87422201.5791918,19087180.6781235,"Fantasy","PG-13",4,0
"31","War",2007,"Summer",103,37831644.9589966,61589917.9932465,"Action","R",30,0
"32","Confessions of a Teenage Drama Queen",2004,"Winter",85,24910005.2938062,55300211.7522499,"Comedy","PG",14,0
"33","Palm Springs",2020,"Summer",90,6060664.60587326,1818199.38176198,"Comedy","R",94,0
"34","Table 19
",2017,"Winter",87,6399428.80456956,6399428.80456956,"Comedy","PG-13",31,0
"35","The Whole Ten Yards",2004,"Spring",99,66426680.7834833,43509475.9131816,"Comedy","PG-13",4,1
